2025-10-23 00:11:36,628 - firewall - INFO - Enhanced Firewall started successfully
2025-10-23 00:18:14,400 - firewall - INFO - Enhanced Firewall started successfully
2025-10-23 00:25:25,316 - firewall - INFO - Enhanced Firewall started successfully
2025-10-23 11:21:34,009 - firewall - INFO - Enhanced Firewall started successfully
2025-10-23 11:22:38,360 - firewall - INFO - Enhanced Firewall started successfully
2025-10-23 12:20:36,413 - firewall - INFO - Enhanced Firewall started successfully
2025-10-23 12:20:38,740 - firewall - INFO - Packet allowed: fe80::81df:d981:4df1:c664 -> ff02::fb (Protocol-(17, 40)) | src=fe80::81df:d981:4df1:c664 | dst=ff02::fb | proto=Protocol-(17, 40)
2025-10-23 12:20:38,741 - firewall - INFO - Packet allowed: fe80::81df:d981:4df1:c664 -> ff02::fb (Protocol-(17, 40)) | src=fe80::81df:d981:4df1:c664 | dst=ff02::fb | proto=Protocol-(17, 40)
2025-10-23 12:20:38,842 - firewall - INFO - Packet allowed: fe80::81df:d981:4df1:c664 -> ff02::fb (Protocol-(17, 40)) | src=fe80::81df:d981:4df1:c664 | dst=ff02::fb | proto=Protocol-(17, 40)
2025-10-23 12:20:38,842 - firewall - INFO - Packet allowed: fe80::81df:d981:4df1:c664 -> ff02::fb (Protocol-(17, 40)) | src=fe80::81df:d981:4df1:c664 | dst=ff02::fb | proto=Protocol-(17, 40)
2025-10-23 12:20:38,842 - firewall - INFO - Packet allowed: fe80::81df:d981:4df1:c664 -> ff02::fb (Protocol-(17, 40)) | src=fe80::81df:d981:4df1:c664 | dst=ff02::fb | proto=Protocol-(17, 40)
2025-10-23 12:20:38,843 - firewall - INFO - Packet allowed: fe80::81df:d981:4df1:c664 -> ff02::c (Protocol-(17, 40)) | src=fe80::81df:d981:4df1:c664 | dst=ff02::c | proto=Protocol-(17, 40)
2025-10-23 12:20:38,843 - firewall - INFO - Packet allowed: 192.168.0.239 -> 239.255.255.250 (Protocol-(17, 20)) | src=192.168.0.239 | dst=239.255.255.250 | proto=Protocol-(17, 20)
2025-10-23 12:20:38,843 - firewall - INFO - Packet allowed: 192.168.0.239 -> 255.255.255.255 (Protocol-(17, 20)) | src=192.168.0.239 | dst=255.255.255.255 | proto=Protocol-(17, 20)
2025-10-23 12:20:38,843 - firewall - INFO - Packet allowed: 192.168.0.239 -> 255.255.255.255 (Protocol-(17, 20)) | src=192.168.0.239 | dst=255.255.255.255 | proto=Protocol-(17, 20)
2025-10-23 12:20:38,843 - firewall - INFO - Packet allowed: 192.168.0.239 -> 255.255.255.255 (Protocol-(17, 20)) | src=192.168.0.239 | dst=255.255.255.255 | proto=Protocol-(17, 20)
2025-10-23 12:20:38,843 - firewall - INFO - Packet allowed: 192.168.0.239 -> 192.168.0.255 (Protocol-(17, 20)) | src=192.168.0.239 | dst=192.168.0.255 | proto=Protocol-(17, 20)
2025-10-23 12:20:38,843 - firewall - INFO - Packet allowed: 192.168.0.239 -> 255.255.255.255 (Protocol-(17, 20)) | src=192.168.0.239 | dst=255.255.255.255 | proto=Protocol-(17, 20)
2025-10-23 12:20:38,844 - firewall - INFO - Packet allowed: 192.168.0.239 -> 255.255.255.255 (Protocol-(17, 20)) | src=192.168.0.239 | dst=255.255.255.255 | proto=Protocol-(17, 20)
2025-10-23 12:20:38,944 - firewall - INFO - Packet allowed: 192.168.0.239 -> 192.168.0.255 (Protocol-(17, 20)) | src=192.168.0.239 | dst=192.168.0.255 | proto=Protocol-(17, 20)
2025-10-23 12:20:38,945 - firewall - INFO - Packet allowed: 192.168.0.239 -> 255.255.255.255 (Protocol-(17, 20)) | src=192.168.0.239 | dst=255.255.255.255 | proto=Protocol-(17, 20)
2025-10-23 12:20:38,945 - firewall - INFO - Packet allowed: 192.168.0.239 -> 255.255.255.255 (Protocol-(17, 20)) | src=192.168.0.239 | dst=255.255.255.255 | proto=Protocol-(17, 20)
2025-10-23 12:20:38,945 - firewall - INFO - Packet allowed: 192.168.0.239 -> 192.168.0.255 (Protocol-(17, 20)) | src=192.168.0.239 | dst=192.168.0.255 | proto=Protocol-(17, 20)
2025-10-23 12:20:38,945 - firewall - INFO - Packet allowed: 192.168.0.239 -> 255.255.255.255 (Protocol-(17, 20)) | src=192.168.0.239 | dst=255.255.255.255 | proto=Protocol-(17, 20)
2025-10-23 12:20:38,946 - firewall - INFO - Packet allowed: 192.168.0.239 -> 255.255.255.255 (Protocol-(17, 20)) | src=192.168.0.239 | dst=255.255.255.255 | proto=Protocol-(17, 20)
2025-10-23 12:20:38,946 - firewall - INFO - Packet allowed: 192.168.0.239 -> 239.255.255.250 (Protocol-(17, 20)) | src=192.168.0.239 | dst=239.255.255.250 | proto=Protocol-(17, 20)
2025-10-23 12:20:38,946 - firewall - INFO - Packet allowed: fe80::81df:d981:4df1:c664 -> ff02::c (Protocol-(17, 40)) | src=fe80::81df:d981:4df1:c664 | dst=ff02::c | proto=Protocol-(17, 40)
2025-10-23 12:20:39,047 - firewall - INFO - Packet allowed: 192.168.0.239 -> 255.255.255.255 (Protocol-(17, 20)) | src=192.168.0.239 | dst=255.255.255.255 | proto=Protocol-(17, 20)
2025-10-23 12:20:39,047 - firewall - INFO - Packet allowed: 192.168.0.239 -> 192.168.0.255 (Protocol-(17, 20)) | src=192.168.0.239 | dst=192.168.0.255 | proto=Protocol-(17, 20)
2025-10-23 12:20:39,048 - firewall - INFO - Packet allowed: 192.168.0.239 -> 255.255.255.255 (Protocol-(17, 20)) | src=192.168.0.239 | dst=255.255.255.255 | proto=Protocol-(17, 20)
2025-10-23 12:20:39,048 - firewall - INFO - Packet allowed: 192.168.0.239 -> 255.255.255.255 (Protocol-(17, 20)) | src=192.168.0.239 | dst=255.255.255.255 | proto=Protocol-(17, 20)
2025-10-23 12:20:39,048 - firewall - INFO - Packet allowed: 192.168.0.239 -> 239.255.255.250 (Protocol-(17, 20)) | src=192.168.0.239 | dst=239.255.255.250 | proto=Protocol-(17, 20)
2025-10-23 12:20:39,148 - firewall - INFO - Packet allowed: fe80::81df:d981:4df1:c664 -> ff02::c (Protocol-(17, 40)) | src=fe80::81df:d981:4df1:c664 | dst=ff02::c | proto=Protocol-(17, 40)
2025-10-23 12:20:39,149 - firewall - INFO - Packet allowed: 192.168.0.216 -> 104.18.19.125 (Protocol-(6, 20)) | src=192.168.0.216 | dst=104.18.19.125 | proto=Protocol-(6, 20)
2025-10-23 12:20:39,149 - firewall - INFO - Packet allowed: 192.168.0.216 -> 104.18.19.125 (Protocol-(6, 20)) | src=192.168.0.216 | dst=104.18.19.125 | proto=Protocol-(6, 20)
2025-10-23 12:20:39,360 - firewall - INFO - Packet allowed: 104.18.19.125 -> 192.168.0.216 (Protocol-(6, 20)) | src=104.18.19.125 | dst=192.168.0.216 | proto=Protocol-(6, 20)
2025-10-23 12:20:39,360 - firewall - INFO - Packet allowed: 104.18.19.125 -> 192.168.0.216 (Protocol-(6, 20)) | src=104.18.19.125 | dst=192.168.0.216 | proto=Protocol-(6, 20)
2025-10-23 12:20:39,361 - firewall - INFO - Packet allowed: 104.18.19.125 -> 192.168.0.216 (Protocol-(6, 20)) | src=104.18.19.125 | dst=192.168.0.216 | proto=Protocol-(6, 20)
2025-10-23 12:20:39,361 - firewall - INFO - Packet allowed: 104.18.19.125 -> 192.168.0.216 (Protocol-(6, 20)) | src=104.18.19.125 | dst=192.168.0.216 | proto=Protocol-(6, 20)
2025-10-23 12:20:39,362 - firewall - INFO - Packet allowed: 192.168.0.216 -> 104.18.19.125 (Protocol-(6, 20)) | src=192.168.0.216 | dst=104.18.19.125 | proto=Protocol-(6, 20)
2025-10-23 12:20:39,462 - firewall - INFO - Packet allowed: 192.168.0.239 -> 239.255.255.250 (Protocol-(17, 20)) | src=192.168.0.239 | dst=239.255.255.250 | proto=Protocol-(17, 20)
2025-10-23 12:20:39,664 - firewall - INFO - Packet allowed: 192.168.0.239 -> 224.0.0.251 (Protocol-(17, 20)) | src=192.168.0.239 | dst=224.0.0.251 | proto=Protocol-(17, 20)
2025-10-23 12:20:39,664 - firewall - INFO - Packet allowed: 192.168.0.239 -> 224.0.0.251 (Protocol-(17, 20)) | src=192.168.0.239 | dst=224.0.0.251 | proto=Protocol-(17, 20)
2025-10-23 12:20:39,665 - firewall - INFO - Packet allowed: fe80::81df:d981:4df1:c664 -> ff02::fb (Protocol-(17, 40)) | src=fe80::81df:d981:4df1:c664 | dst=ff02::fb | proto=Protocol-(17, 40)
2025-10-23 12:20:39,665 - firewall - INFO - Packet allowed: fe80::81df:d981:4df1:c664 -> ff02::fb (Protocol-(17, 40)) | src=fe80::81df:d981:4df1:c664 | dst=ff02::fb | proto=Protocol-(17, 40)
2025-10-23 12:20:39,665 - firewall - INFO - Packet allowed: fe80::81df:d981:4df1:c664 -> ff02::fb (Protocol-(17, 40)) | src=fe80::81df:d981:4df1:c664 | dst=ff02::fb | proto=Protocol-(17, 40)
2025-10-23 12:20:39,665 - firewall - INFO - Packet allowed: fe80::81df:d981:4df1:c664 -> ff02::fb (Protocol-(17, 40)) | src=fe80::81df:d981:4df1:c664 | dst=ff02::fb | proto=Protocol-(17, 40)
2025-10-23 12:20:39,665 - firewall - INFO - Packet allowed: fe80::81df:d981:4df1:c664 -> ff02::fb (Protocol-(17, 40)) | src=fe80::81df:d981:4df1:c664 | dst=ff02::fb | proto=Protocol-(17, 40)
2025-10-23 12:20:39,665 - firewall - INFO - Packet allowed: 192.168.0.239 -> 224.0.0.251 (Protocol-(17, 20)) | src=192.168.0.239 | dst=224.0.0.251 | proto=Protocol-(17, 20)
2025-10-23 12:20:39,666 - firewall - INFO - Packet allowed: 192.168.0.239 -> 224.0.0.251 (Protocol-(17, 20)) | src=192.168.0.239 | dst=224.0.0.251 | proto=Protocol-(17, 20)
2025-10-23 12:20:39,666 - firewall - INFO - Packet allowed: 192.168.0.239 -> 224.0.0.251 (Protocol-(17, 20)) | src=192.168.0.239 | dst=224.0.0.251 | proto=Protocol-(17, 20)
2025-10-23 12:20:39,766 - firewall - INFO - Packet allowed: 104.18.19.125 -> 192.168.0.216 (Protocol-(6, 20)) | src=104.18.19.125 | dst=192.168.0.216 | proto=Protocol-(6, 20)
2025-10-23 12:20:39,767 - firewall - INFO - Packet allowed: fe80::81df:d981:4df1:c664 -> ff02::c (Protocol-(17, 40)) | src=fe80::81df:d981:4df1:c664 | dst=ff02::c | proto=Protocol-(17, 40)
2025-10-23 12:20:39,768 - firewall - INFO - Packet allowed: 192.168.0.216 -> 104.18.19.125 (Protocol-(6, 20)) | src=192.168.0.216 | dst=104.18.19.125 | proto=Protocol-(6, 20)
2025-10-23 12:20:40,271 - firewall - INFO - Packet allowed: 127.0.0.1 -> 127.0.0.1 (Protocol-(6, 20)) | src=127.0.0.1 | dst=127.0.0.1 | proto=Protocol-(6, 20)
2025-10-23 12:20:40,372 - firewall - INFO - Packet allowed: 127.0.0.1 -> 127.0.0.1 (Protocol-(6, 20)) | src=127.0.0.1 | dst=127.0.0.1 | proto=Protocol-(6, 20)
2025-10-23 12:20:40,372 - firewall - INFO - Packet allowed: 127.0.0.1 -> 127.0.0.1 (Protocol-(6, 20)) | src=127.0.0.1 | dst=127.0.0.1 | proto=Protocol-(6, 20)
2025-10-23 12:20:40,372 - firewall - INFO - Packet allowed: 127.0.0.1 -> 127.0.0.1 (Protocol-(6, 20)) | src=127.0.0.1 | dst=127.0.0.1 | proto=Protocol-(6, 20)
2025-10-23 12:23:30,882 - firewall - INFO - Enhanced Firewall started successfully
2025-10-23 12:23:31,487 - firewall - INFO - Packet allowed: 192.168.0.216 -> 52.86.193.81 (Protocol-(6, 20)) | src=192.168.0.216 | dst=52.86.193.81 | proto=Protocol-(6, 20)
2025-10-23 12:23:31,996 - firewall - INFO - Packet allowed: 52.86.193.81 -> 192.168.0.216 (Protocol-(6, 20)) | src=52.86.193.81 | dst=192.168.0.216 | proto=Protocol-(6, 20)
2025-10-23 12:23:32,806 - firewall - INFO - Packet allowed: 192.168.0.216 -> 142.250.186.228 (Protocol-(17, 20)) | src=192.168.0.216 | dst=142.250.186.228 | proto=Protocol-(17, 20)
2025-10-23 12:23:32,807 - firewall - INFO - Packet allowed: 142.250.186.228 -> 192.168.0.216 (Protocol-(17, 20)) | src=142.250.186.228 | dst=192.168.0.216 | proto=Protocol-(17, 20)
2025-10-23 12:23:33,814 - firewall - INFO - Packet allowed: 192.168.0.216 -> 52.111.240.2 (Protocol-(6, 20)) | src=192.168.0.216 | dst=52.111.240.2 | proto=Protocol-(6, 20)
2025-10-23 12:23:33,916 - firewall - INFO - Packet allowed: 192.168.0.216 -> 142.250.202.228 (Protocol-(17, 20)) | src=192.168.0.216 | dst=142.250.202.228 | proto=Protocol-(17, 20)
